id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
532;2025-05-21 23.22.05;25,8;91,7;3,8;470,0;33,0;26,0;25,0;1;17,6;13,9;13,4;4,0;2,5;0,7;44,9;7,2;189,1;147,8;1;1
543;2025-05-21 23.23.28;25,7;92,1;3,7;470,0;27,0;18,0;20,0;1;14,4;9,6;10,7;4,0;2,5;0,8;34,7;7,3;199,3;147,7;1;1
544;2025-05-21 23.23.36;25,7;92,0;3,7;470,0;26,0;13,0;21,0;1;13,9;6,9;11,2;4,0;2,5;0,8;32,1;7,3;201,9;147,7;1;1
548;2025-05-21 23.24.06;25,7;91,8;3,7;470,0;32,0;20,0;20,0;1;17,1;10,7;10,7;4,0;2,5;0,8;38,5;7,3;195,5;147,7;1;1
559;2025-05-21 23.25.26;25,7;91,5;3,7;470,0;35,0;14,0;27,0;1;18,7;7,5;14,4;4,0;2,5;0,8;40,6;7,2;193,4;147,8;1;1
563;2025-05-21 23.25.55;25,7;92,0;3,7;470,0;38,0;15,0;36,0;1;20,3;8,0;19,2;4,0;2,5;0,8;47,5;7,3;186,5;147,7;1;1
565;2025-05-21 23.26.11;25,7;92,0;3,7;470,0;39,0;14,0;36,0;1;20,8;7,5;19,2;4,0;2,5;0,8;47,5;7,3;186,5;147,7;1;1
572;2025-05-21 23.27.02;25,6;92,0;3,7;470,0;38,0;14,0;31,0;1;20,3;7,5;16,6;4,0;2,5;0,8;44,3;7,3;189,7;147,7;1;1
576;2025-05-21 23.27.32;25,6;92,0;3,7;470,0;30,0;17,0;27,0;1;16,0;9,1;14,4;4,0;2,5;0,8;39,5;7,3;194,5;147,7;1;1
578;2025-05-21 23.27.46;25,6;91,3;3,7;470,0;32,0;28,0;27,0;1;17,1;15,0;14,4;4,0;2,5;0,8;46,5;7,2;187,5;147,8;1;1
581;2025-05-21 23.28.10;25,6;91,3;3,7;470,0;38,0;11,0;30,0;1;20,3;5,9;16,0;4,0;2,5;0,8;42,2;7,2;191,8;147,8;1;1
582;2025-05-21 23.28.17;25,6;91,3;3,7;470,0;37,0;17,0;20,0;1;19,8;9,1;10,7;4,0;2,5;0,8;39,5;7,2;194,5;147,8;1;1
586;2025-05-21 23.28.47;25,6;91,3;3,7;470,0;37,0;15,0;22,0;1;19,8;8,0;11,8;4,0;2,5;0,8;39,5;7,2;194,5;147,8;1;1
588;2025-05-21 23.29.02;25,6;91,3;3,7;470,0;37,0;25,0;36,0;1;19,8;13,4;19,2;4,0;2,5;0,8;52,4;7,2;181,6;147,8;1;1
589;2025-05-21 23.29.09;25,6;91,3;3,7;470,0;39,0;17,0;24,0;1;20,8;9,1;12,8;4,0;2,5;0,8;42,7;7,2;191,3;147,8;1;1
592;2025-05-21 23.29.32;25,6;91,3;3,7;470,0;31,0;18,0;27,0;1;16,6;9,6;14,4;4,0;2,5;0,8;40,6;7,2;193,4;147,8;1;1
594;2025-05-21 23.29.46;25,6;91,5;3,7;470,0;34,0;20,0;33,0;1;18,2;10,7;17,6;4,0;2,5;0,8;46,5;7,2;187,5;147,8;1;1
595;2025-05-21 23.29.53;25,6;91,0;3,7;470,0;30,0;22,0;23,0;1;16,0;11,8;12,3;4,0;2,5;0,8;40,1;7,2;193,9;147,8;1;1
596;2025-05-21 23.30.00;25,6;91,5;3,7;470,0;39,0;19,0;30,0;1;20,8;10,1;16,0;4,0;2,5;0,8;47,0;7,2;187,0;147,8;1;1
600;2025-05-21 23.30.29;25,6;91,3;3,7;470,0;31,0;14,0;26,0;1;16,6;7,5;13,9;4,0;2,5;0,8;37,9;7,2;196,1;147,8;1;1
604;2025-05-21 23.30.59;25,6;91,3;3,7;470,0;33,0;19,0;30,0;1;17,6;10,1;16,0;4,0;2,5;0,8;43,8;7,2;190,2;147,8;1;1
