id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
892;2025-05-22 00.06.41;25,4;91;4;170;17;23;35;4;31,8;43,1;65,5;13,6;11,7;12,0;140,4;37,3;147,6;-31,6;1;0
902;2025-05-22 00.07.56;25,5;91,2;4;170;20;20;36;4;37,4;37,4;67,4;13,7;11,7;12,0;142,3;37,4;145,7;-31,6;1;0
903;2025-05-22 00.08.03;25,4;91,5;4;170;15;21;49;4;28,1;39,3;91,7;13,7;11,7;12,0;159,1;37,5;128,9;-31,7;1;0
905;2025-05-22 00.08.18;25,5;90,9;4;171;23;29;41;4;43,1;54,3;76,8;13,6;11,7;12,1;174,1;37,4;113,9;-31,6;1;0
908;2025-05-22 00.08.40;25,5;91,3;4;171;16;24;36;4;30,0;44,9;67,4;13,7;11,7;12,1;142,3;37,5;145,7;-31,7;1;0
912;2025-05-22 00.09.11;25,5;91,3;4;170;23;26;40;4;43,1;48,7;74,9;13,7;11,7;12,0;166,6;37,4;121,4;-31,7;1;0
923;2025-05-22 00.10.31;25,5;90,6;4,1;170;15;18;36;4;28,1;33,7;67,4;13,5;11,6;12,0;129,2;37,0;158,8;-31,3;1;0
936;2025-05-22 00.12.08;25,5;91,3;4;171;16;19;20;4;30,0;35,6;37,4;13,7;11,7;12,1;103,0;37,5;185,0;-31,7;1;0
937;2025-05-22 00.12.15;25,5;90,6;4;171;27;29;43;4;50,5;54,3;80,5;13,6;11,7;12,1;185,3;37,3;102,7;-31,5;1;0
941;2025-05-22 00.12.46;25,5;90,6;4;170;21;27;28;4;39,3;50,5;52,4;13,6;11,7;12,0;142,3;37,2;145,7;-31,5;1;0
948;2025-05-22 00.13.38;25,4;91;4;171;27;29;39;4;50,5;54,3;73,0;13,6;11,7;12,1;177,8;37,4;110,2;-31,7;1;0
950;2025-05-22 00.13.53;25,5;90,7;4;170;20;29;44;4;37,4;54,3;82,4;13,6;11,7;12,0;174,1;37,3;113,9;-31,5;1;0
951;2025-05-22 00.14.00;25,4;91;4;170;17;25;23;4;31,8;46,8;43,1;13,6;11,7;12,0;121,7;37,3;166,3;-31,6;1;0
961;2025-05-22 00.15.15;25,4;91;3,9;170;21;24;22;4;39,3;44,9;41,2;13,7;11,8;12,1;125,4;37,5;162,6;-31,8;1;0
966;2025-05-22 00.15.53;25,4;90,7;3,9;170;27;27;29;4;50,5;50,5;54,3;13,7;11,7;12,1;155,4;37,5;132,6;-31,7;1;0
970;2025-05-22 00.16.23;25,4;91;3,9;170;24;24;29;4;44,9;44,9;54,3;13,7;11,8;12,1;144,1;37,5;143,9;-31,8;1;0
971;2025-05-22 00.16.30;25,4;91,3;3,9;170;17;17;44;4;31,8;31,8;82,4;13,8;11,8;12,1;146,0;37,6;142,0;-31,9;1;0
972;2025-05-22 00.16.38;25,4;91,3;3,9;171;23;26;32;4;43,1;48,7;59,9;13,8;11,8;12,1;151,6;37,7;136,4;-31,9;1;0
979;2025-05-22 00.17.30;25,4;91,2;3,9;170;16;28;30;4;30,0;52,4;56,2;13,8;11,8;12,1;138,5;37,6;149,5;-31,8;1;0
981;2025-05-22 00.17.45;25,4;90,7;3,9;170;22;23;37;4;41,2;43,1;69,3;13,7;11,7;12,1;153,5;37,5;134,5;-31,7;1;0
982;2025-05-22 00.17.52;25,4;91,5;3,9;170;22;25;45;4;41,2;46,8;84,2;13,8;11,8;12,1;172,2;37,7;115,8;-31,9;1;0
991;2025-05-22 00.19.00;25,4;90,7;3,9;170;16;25;25;4;30,0;46,8;46,8;13,7;11,7;12,1;123,6;37,5;164,4;-31,7;1;0
994;2025-05-22 00.19.23;25,4;90,9;3,9;170;20;22;43;4;37,4;41,2;80,5;13,7;11,7;12,1;159,1;37,5;128,9;-31,8;1;0
1006;2025-05-22 00.20.52;25,4;91,3;3,9;170;25;27;33;4;46,8;50,5;61,8;13,8;11,8;12,1;159,1;37,6;128,9;-31,9;1;0
1009;2025-05-22 00.21.15;25,4;90,6;3,9;170;23;28;45;4;43,1;52,4;84,2;13,7;11,7;12,1;179,7;37,4;108,3;-31,7;1;0
1011;2025-05-22 00.21.30;25,4;90,6;3,9;170;17;20;37;4;31,8;37,4;69,3;13,7;11,7;12,1;138,5;37,4;149,5;-31,7;1;0
1014;2025-05-22 00.21.52;25,4;90,9;3,8;170;19;24;42;4;35,6;44,9;78,6;13,8;11,8;12,1;159,1;37,7;128,9;-32,0;1;0
1018;2025-05-22 00.22.21;25,4;91;3,9;170;16;24;36;4;30,0;44,9;67,4;13,7;11,8;12,1;142,3;37,5;145,7;-31,8;1;0
1021;2025-05-22 00.22.44;25,4;91,3;3,9;170;18;26;44;4;33,7;48,7;82,4;13,8;11,8;12,1;164,7;37,6;123,3;-31,9;1;0
